Start_Node	End_Node	Travel_Time
837	29164	0.383285
838	5245	1.036454
838	29133	0.864877
838	54599	1.103285
839	5135	1.130400
839	5245	1.137692
840	4942	1.094077
840	5036	0.782077
841	4972	0.759046
841	40494	0.587423
842	29147	0.492600
843	29153	0.190015
844	29143	1.340792
844	29148	1.082146
845	29023	0.434815
846	29092	0.479446
846	29095	0.526038
847	29058	1.147062
848	40492	0.628223
849	4422	0.563746
850	29096	0.554585
851	4569	0.848054
851	29096	0.979385
851	40495	0.793523
852	4569	0.887815
852	29044	0.340569
853	29038	1.080577
853	29044	0.786138
853	29079	1.257185
854	29081	0.186623
855	29051	1.079931
855	29059	1.338485
855	29073	1.090985
856	29073	0.718731
857	40626	1.415723
858	29049	0.706523
859	19849	0.907154
860	29049	1.164485
860	29053	1.603731
861	4209	0.622938
861	17620	0.759462
862	4209	0.442154
863	40493	0.771392
864	29058	2.106785
865	28819	1.144800
866	4074	0.630462
867	3912	0.820062
868	3912	0.975854
868	28820	1.057638
869	11458	0.729762
870	40490	0.794862
871	28712	0.734654
871	28713	1.519292
872	40623	0.685131
872	40624	1.666638
873	3856	0.982985
873	28791	1.854000
874	28795	0.839031
875	3716	2.222192
876	28794	1.582708
876	28800	0.473146
877	3800	1.861015
877	54670	0.949523
878	3872	0.881400
879	4047	0.338169
880	3952	0.866169
880	4094	0.964777
881	3952	1.017531
882	26945	1.076354
883	18655	1.162777
884	3849	1.174131
884	3915	1.158092
885	3915	0.468046
886	3962	0.388062
887	27175	1.108777
888	27175	0.152562
889	40733	0.466846
890	40733	0.667362
891	3783	0.714946
892	3849	1.347923
893	27166	0.824354
894	40747	0.698100
895	40746	1.221485
896	27282	0.939277
897	40732	1.267385
898	25132	1.154423
899	25132	2.514577
899	25230	1.977946
899	26445	2.940969
900	26451	2.332269
901	26425	3.199085
902	40738	1.405408
903	26425	1.409815
903	40738	0.672900
904	26361	0.775131
905	26350	0.978600
905	26352	2.027908
906	26354	2.660677
907	40739	1.176854
908	26421	1.392923
908	40737	2.477238
909	40737	2.619554
910	26426	2.344546
911	26441	1.970654
911	26442	2.328831
912	26092	1.621223
913	26450	2.601692
913	27211	2.787623
914	27211	1.218023
914	27212	1.134508
915	27217	1.294431
916	27213	0.984438
917	27201	1.464185
918	26428	1.422046
918	54674	1.256192
919	40652	1.250262
920	26428	2.080292
921	40644	1.034146
922	26056	1.157100
922	40237	0.619731
923	27189	0.618369
924	40238	1.322562
924	40239	1.777638
925	27200	1.773623
926	27187	1.425392
927	40239	1.073746
928	3524	1.816408
928	40645	1.236600
929	27196	0.834738
930	26930	0.361085
931	26429	1.292077
932	40646	0.493292
933	40647	1.023877
934	26414	1.076746
934	40653	1.146092
935	40653	1.191808
936	40650	1.352608
937	26346	2.952669
937	40651	1.790492
938	26325	2.392454
938	40739	4.149623
939	40656	2.294862
939	54691	2.138700
940	40655	2.197385
940	40656	2.674108
941	3329	3.330046
941	40649	3.799938
942	40654	1.908208
942	40655	2.334162
943	40654	1.350531
944	40658	1.114500
945	40659	0.890377
946	40657	2.707546
947	40660	1.678662
948	26365	0.494862
949	26270	1.373954
950	3346	1.094862
951	3346	1.189292
952	40648	1.598262
953	19389	0.702554
954	26090	1.351015
955	3523	1.558823
956	3456	2.562623
957	3418	1.366685
958	26401	0.604731
959	26368	1.696292
